DocId;Nom du professionnel;Partenaires;Filière du professionnel;Activité du professionnel;Ville;Code postal du professionnel;Adresse;Date de l’audit;Type d’audit;Handicaps attribués
th207222;Plage de la Roquille;TH CT Occitanie Est|ADN Tourisme / ATH|TH - Hérault Tourisme;Loisir;Sortie nature;AGDE;34300;16 rue Alsace Lorraine;06/10/2021;Renouvellement;
th207223;MANAS - Musée d'Art Naïf et d'Arts Singuliers;TH - Mayenne Tourisme|ACCESSITOUR|ADN Tourisme / ATH;Visite;Lieu de visite;LAVAL;53000;adresse adm: Mairie Place du 11 novembre  CS 71237;15/11/2021;Renouvellement;
th207224;Zoo d'Asson;TH - Agence Départementale du Tourisme 64|ADN Tourisme / ATH|TH CT Nouvelle - Aquitaine;Visite;Parc à thème;ASSON;64800;6 Chemin Brouquet;29/11/2021;Renouvellement;
th207225;ZENITUDE HOTEL RESIDENCES LE PARC DE L'ESCALE;TH - Haute-Garonne Tourisme|TH CT Occitanie Ouest|ADN Tourisme / ATH;Hébergement ERP;Résidence de tourisme;TOULOUSE;31300;8 Rue de Caulet;23/01/2023;Renouvellement;"AUDITIF;MENTAL;MOTEUR;VISUEL;"
th207226;RESTAURANT L'EVEIL DES SENS - TRELINS;TH - Auvergne-Rhône-Alpes Tourisme|TH - Loire Tourisme|ADN Tourisme / ATH;Restauration;Restauration;TRELINS;42130;2 place du Lavoir;27/06/2018;Renouvellement;
th207228;VVF Villages La Côte Guérandaise;TH - Loire-Atlantique Développement|ACCESSITOUR|ADN Tourisme / ATH;Hébergement ERP;Village de vacances;PIRIAC-SUR-MER;44420;385 Route de St Sébastien;05/03/2023;Renouvellement;"AUDITIF;MOTEUR;"
th207230;Salle Guy Obino;TH - Provence Tourisme|ADN Tourisme / ATH;Loisir;Etablissement de loisir;VITROLLES;13127;Rue Roumanille;12/12/2022;Renouvellement;"AUDITIF;MENTAL;MOTEUR;VISUEL;"
th207234;Office de Tourisme de Mâcon Sud Bourgogne;ADN Tourisme / ATH|TH - Destination Saône-et-Loire|Bourgogne-Franche-Comté Tourisme;Information touristique;Office de tourisme;MACON;71000;1 place Saint-Pierre;27/09/2022;Renouvellement;"AUDITIF;MENTAL;MOTEUR;VISUEL;"
th207237;Musée du Liège et du Bouchon;TH - Tourisme Lot-et-Garonne|ADN Tourisme / ATH|TH CT Nouvelle - Aquitaine;Visite;Lieu de visite;MEZIN;47170;2 rue du Puits Saint Côme;11/02/2020;Renouvellement;
th207238;Sentier de promenade Site Naturel Le Mejean;TH CT Occitanie Est|ADN Tourisme / ATH|TH - Hérault Tourisme;Loisir;Sortie nature;LATTES;34970;Maison de la Nature et Conservatoire du Littoral chemin des étangs;06/12/2021;Renouvellement;
